planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES ACEITE,TE-ACT-LGC-TANQUES ACEITE,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES ACEITE OSL,TE-ACT-LGC-TANQUES ACEITE OSL,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,SECTOR BAJO BARR,TE-BBR-LGC-SECTOR BAJO  BARR,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-BBR-LGC-SECTOR BAJO  BARR,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,TANQUES TGR,TE-GLC-LGC-TANQUES TGR,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-GLC-LGC-TANQUES TGR,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,SECTOR AKZO NOBEL,TE-MDU-LGC-SECTOR AKZO NOBEL,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-MDU-LGC-SECTOR AKZO NOBEL,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,SECTOR SAN BENITO,TE-MSB-LGC-SECTOR SAN BENITO,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-MSB-LGC-SECTOR SAN BENITO,,
TE,ACT,SECTOR ACEITE,SUBSECTOR,CARGADERO,TE-RFN-LGC-CARGADERO,BTZ_Description_03,TE-ACT-LGC-SECTOR ACEITE,TE-RFN-LGC-CARGADERO,,
TE,ADD,DES BARCAZAS,SUBSECTOR,CINTAS DESC BARC,TE-ADD-LGC-CINTAS DESC BARC,BTZ_Description_03,TE-ADD-LGC-DES BARCAZAS,TE-ADD-LGC-CINTAS DESC BARC,,
TE,ADD,DES BARCAZAS,SUBSECTOR,MALACATES,TE-ADD-LGC-MALACATES,BTZ_Description_03,TE-ADD-LGC-DES BARCAZAS,TE-ADD-LGC-MALACATES,,
TE,ADD,DES BARCAZAS,SUBSECTOR,TOLVAS AZUFRE,TE-ADD-LGC-TOLVAS AZUFRE,BTZ_Description_03,TE-ADD-LGC-DES BARCAZAS,TE-ADD-LGC-TOLVAS AZUFRE,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,BICICLETERO,TE-ADM-EDF-BICICLETERO,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-BICICLETERO,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,COCHERAS,TE-ADM-EDF-COCHERAS,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-COCHERAS,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,COMEDOR,TE-ADM-EDF-COMEDOR,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-COMEDOR,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,DPTO MEDICO,TE-ADM-EDF-DPTO MEDICO,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-DPTO MEDICO,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,OFICINAS,TE-ADM-EDF-OFICINAS,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,
TE,ADM,EDIFICIOS VARIOS,SUBSECTOR,PORTERIA,TE-ADM-EDF-PORTERIA,BTZ_Description_03,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-PORTERIA,,
