codigo_project,element_id_contenedor_detectado,unique_id_contenedor_detectado,btz_path_contenedor,estado_lectura,motivo,columnas_detectadas
P10-EXT-BMB-P313,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-CND-HX312,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-VLV-TCV-307,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-VLV-TCV-309,282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P336,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P351,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-PRC-HX302,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-INT-V338,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-RHV-HX337,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V330,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P331,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-BMB-P335,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
P10-EXT-TNQ-V351,282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,ok,,codigo;element_id;unique_id;path
